Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
23,K012,P.S. 12 - BROOKLYN,DOE - RESOA,FY23 RESO A BATHROOM UPGRADES,Construction,In-Progress,6/21/2024,DOER,,DOER,"$38,808.00 ",$0.00 ,DSF0001035369
23,K012,I.S. 484 - BROOKLYN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,2/9/2024,DOES,,DOES,"$458,324.00 ",$0.00 ,DSF0001085710
23,K012,P.S. 12 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / FENCING,"CM,F&E",In-Progress,7/22/2024,1/7/2027,,1069762,"$270,413.00 ","$254,220.00 ","DSF0001009615, DSF0001009616, DSF0001009617, DSF0001009618, DSF0001111760"
23,K012,P.S. 12 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEMS,"CM,F&E",PNS,PNS,PNS,PNS,169656,"$169,656.00 ","$5,010.00 ",DSF0001088032
23,K012,P.S. 12 - BROOKLYN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,"CM,F&E",PNS,PNS,PNS,PNS,191548,"$191,548.00 ","$13,285.00 ",DSF0001083797
23,K012,P.S. 12 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,1711982,"$1,711,982.00 ",$0.00 ,DSF0001088032
23,K012,P.S. 12 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / FENCING,Construction,In-Progress,7/22/2024,1/7/2027,,15439113,"$14,018,000.00 ","$851,173.00 ","DSF0001009615, DSF0001009616, DSF0001009617, DSF0001009618, DSF0001111760"
23,K012,P.S. 12 - BROOKLYN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Construction,PNS,PNS,PNS,PNS,1033468,"$1,033,468.00 ",$0.00 ,DSF0001083797
23,K012,P.S. 12 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEMS,Design,In-Progress,4/2/2025,9/3/2025,,107963,"$107,963.00 ","$68,136.00 ",DSF0001088032
23,K012,P.S. 12 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / FENCING,Design,Complete,10/30/2023,6/10/2024,4/26/2024,715414,"$667,676.00 ","$654,795.00 ","DSF0001009615, DSF0001009616, DSF0001009617, DSF0001009618, DSF0001111760"
23,K012,P.S. 12 - BROOKLYN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Design,Complete,10/26/2023,3/26/2024,4/1/2024,80183,"$80,253.00 ","$73,040.00 ",DSF0001083797
23,K012,P.S. 12 - BROOKLYN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Scope,Complete,6/23/2023,10/23/2023,10/24/2023,17818,"$21,412.00 ","$21,412.00 ",DSF0001083797
23,K012,P.S. 12 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / FENCING,Scope,Complete,6/7/2023,12/6/2023,10/24/2023,144603,"$257,074.00 ","$216,922.00 ","DSF0001009615, DSF0001009616, DSF0001009617, DSF0001009618, DSF0001111760"
23,K012,P.S. 12 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,7/12/2024,10/10/2024,4/2/2025,23135,"$17,034.00 ","$17,034.00 ",DSF0001088032
19,K013,P.S. 13 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$350,000.00 ",$0.00 ,DSF0001112517
19,K013,P.S. 13 - BROOKLYN,DOE - RESOA,FY24 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,"$233,000.00 ",$0.00 ,DSF0001085940
19,K013,P.S. 13 - BROOKLYN,DOE - RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,4/3/2024,DOER,,DOER,"$498,205.00 ",$0.00 ,DSF0001085939
19,K013,P.S. 13 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,7/5/2022,DOES,,DOES,"$191,366.00 ",$0.00 ,DSF0001034216
19,K013,P.S. 13 - BROOKLYN,DOE - Skilled Trades,DEP GREEN INFRASTRUCTURE,Construction,In-Progress,11/14/2022,DOES,,DOES,"$1,157,455.00 ",$0.00 ,DSF0000911947
19,K013,P.S. 13 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,4/16/2025,3/11/2026,,38957,"$27,862.00 ","$10,172.00 ",DSF0001087367
19,K013,P.S. 13 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,4/16/2025,3/11/2026,,190008,"$168,393.00 ","$2,393.00 ",DSF0001087367
19,K013,P.S. 13 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,4/2/2024,9/26/2024,7/16/2024,14742,"$8,539.00 ","$8,539.00 ",DSF0001087367
19,K013,P.S. 13 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,1/18/2024,5/16/2024,4/2/2024,3276,"$2,134.00 ","$2,134.00 ",DSF0001087367
22,K014,I.S. 14 - BROOKLYN,DOE - RESOA,FY25 RESO A STEM LAB,Construction,PNS,PNS,PNS,PNS,DOER,"$150,000.00 ",$0.00 ,DSF0001112519
22,K014,I.S. 14 - BROOKLYN,DOE - RESOA,FY13 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$63,000.00 ",$0.00 ,DSF0000754664
22,K014,I.S. 14 - BROOKLYN,DOE - RESOA,FY15 RESO A ROOM CONVERSIONS / PARTITIONING,Construction,In-Progress,7/16/2021,DOER,,DOER,"$291,871.00 ",$0.00 ,DSF0000800464
22,K014,K771 SPED - BROOKLYN,DOE - RESOA,FY25 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,"$225,000.00 ",$0.00 ,DSF0001112518
22,K014,I.S. 14 - BROOKLYN,DOE - Skilled Trades,ELEVATOR MODERNIZATION,Construction,In-Progress,2/28/2024,DOES,,DOES,"$573,921.00 ","$256,198.00 ",DSF0001088076
22,K014,I.S. 14 - BROOKLYN,SCA CIP,PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,10/21/2024,4/8/2027,,293383,"$195,948.00 ","$180,572.00 ","DSF0001060336, DSF0001088082"
22,K014,I.S. 14 - BROOKLYN,SCA CIP,PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,10/21/2024,4/8/2027,,2557135,"$2,316,280.00 ","$616,194.00 ","DSF0001060336, DSF0001088082"
22,K014,I.S. 14 - BROOKLYN,SCA CIP,PARAPETS / EXTERIOR MASONRY,Design,Complete,2/26/2024,7/26/2024,5/15/2024,149793,"$191,236.00 ","$158,587.00 ","DSF0001060336, DSF0001088082"
22,K014,I.S. 14 - BROOKLYN,SCA CIP,PARAPETS / EXTERIOR MASONRY,Scope,Complete,7/6/2023,11/21/2023,2/23/2024,31839,"$90,470.00 ","$90,451.00 ","DSF0001060336, DSF0001088082"
22,K014,I.S. 14 - BROOKLYN,SCA IEH,"PO18-ABATE PIPE INSULATION SHOWER/BATHROOM BOILER ROOM #B30  FRIABLE WHITE AIRCELL PIPE INSULATION,",Construction,Complete,5/30/2025,IEH,6/12/2025,IEH,"$1,267.00 ",$517.00 ,SCA0000074332
15,K015,P.S. 15 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/7/2025,DIIR,6/6/2025,DIIR,"$50,000.00 ","$50,000.00 ",DSF0001112520
15,K015,P.S. 15 - BROOKLYN,DOE - RESOA,FY24 RESO A WATER FOUNTAIN UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,"$62,427.00 ",$0.00 ,DSF0001085941
15,K015,P.S. 15 - BROOKLYN,Fast Track Projects,GAS LEAK,Construction,In-Progress,4/15/2019,FTK,,FTK,"$37,984.00 ","$37,984.00 ",SCA0000056166
15,K015,P.S. 15 - BROOKLYN,Fast Track Projects,FY20 RESO A PLAYGROUND UPGRADE,Construction,PNS,FTK,FTK,FTK,FTK,"$183,796.00 ","$124,991.00 ",DSF0000913200
15,K015,P.S. 15 - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,6/12/2024,5/7/2025,,100029,"$94,494.00 ","$48,317.00 ",DSF0001035003
15,K015,P.S. 15 - BROOKLYN,SCA CIP,ROOFS / WINDOWS / EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY,"CM,F&E",In-Progress,8/16/2021,8/15/2023,,1254685,"$1,893,767.00 ","$1,172,789.00 ","DSF0000868633, DSF0000868634, DSF0000868635, DSF0000912348"
15,K015,P.S. 15 - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,6/12/2024,5/7/2025,,180960,"$166,565.00 ","$143,387.00 ",DSF0001035003
15,K015,P.S. 15 - BROOKLYN,SCA CIP,ROOFS / WINDOWS / EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY,Construction,In-Progress,8/16/2021,8/15/2023,,20164576,"$31,334,421.00 ","$17,413,094.00 ","DSF0000868633, DSF0000868634, DSF0000868635, DSF0000912348"
15,K015,P.S. 15 - BROOKLYN,SCA CIP,ROOFS / WINDOWS / EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY,Design,Complete,11/13/2019,5/1/2020,4/2/2021,896202,"$826,396.00 ","$764,061.00 ","DSF0000868633, DSF0000868634, DSF0000868635, DSF0000912348"
15,K015,P.S. 15 - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,8/2/2023,1/31/2024,11/8/2023,14040,"$9,010.00 ","$9,010.00 ",DSF0001035003
15,K015,P.S. 15 - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,7/13/2023,11/13/2023,8/2/2023,3120,"$2,253.00 ","$2,253.00 ",DSF0001035003
15,K015,P.S. 15 - BROOKLYN,SCA CIP,ROOFS / WINDOWS / EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY,Scope,Complete,11/7/2018,11/6/2019,11/12/2019,179240,"$149,873.00 ","$149,873.00 ","DSF0000868633, DSF0000868634, DSF0000868635, DSF0000912348"
14,K016,P.S. 16 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$93,000.00 ",$0.00 ,DSF0001112522
14,K016,P.S. 16 - BROOKLYN,DOE - RESOA,FY25 RESO A STEM LAB,Construction,PNS,PNS,PNS,PNS,DOER,"$93,000.00 ",$0.00 ,DSF0001112523
14,K016,P.S. 16 - BROOKLYN,DOE - RESOA,FY25 RESO A AUDITORIUM SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,"$1,000,000.00 ",$0.00 ,DSF0001112521
14,K016,P.S. 16 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,6/26/2025,5/21/2026,,42364,"$26,771.00 ","$5,490.00 ",DSF0001087368
14,K016,P.S. 16 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,6/26/2025,5/21/2026,,228569,"$204,937.00 ","$7,895.00 ",DSF0001087368
14,K016,P.S. 16 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,5/31/2024,11/27/2024,11/6/2024,17734,"$10,359.00 ","$10,359.00 ",DSF0001087368
14,K016,P.S. 16 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,5/28/2024,9/26/2024,5/31/2024,3941,"$2,590.00 ","$2,590.00 ",DSF0001087368
14,K016,P.S. 16 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113561
14,K016,P.S. 16 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113561
14,K016,P.S. 16 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113561
14,K016,P.S. 16 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113561
14,K017,P.S. 17 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$300,000.00 ",$0.00 ,DSF0001112525
14,K017,P.S. 17 - BROOKLYN,DOE - RESOA,FY23 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$150,000.00 ",$0.00 ,DSF0001035372
14,K017,P.S. 17 - BROOKLYN,DOE - RESOA,FY25 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,"$175,000.00 ",$0.00 ,DSF0001112527
14,K017,I.S. 577 - BROOKLYN,DOE - RESOA,FY25 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,"$250,000.00 ",$0.00 ,DSF0001112526
14,K017,P.S. 17 - BROOKLYN,DOE - RESOA,FY25 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,"$1,000,000.00 ",$0.00 ,DSF0001112524
14,K017,P.S. 17 - BROOKLYN,DOE - Skilled Trades,ACE BOILER CONTROLS UPGRADE,Construction,In-Progress,1/7/2022,DOES,,DOES,"$60,651.00 ",$0.00 ,DSF0000866101
14,K017,I.S. 577 - BROOKLYN,SCA CIP,IPDVS INSTALLATION,"CM,F&E",In-Progress,4/16/2024,3/11/2025,,96525,"$81,856.00 ","$63,767.00 ",DSF0001035001
14,K017,P.S. 17 - BROOKLYN,SCA CIP,CERTIFICATE OF OCCUPANCY / FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",In-Progress,8/28/2023,8/16/2025,,1349963,"$389,691.00 ","$388,955.00 ","DSF0000865947, DSF0001083702"
14,K017,I.S. 577 - BROOKLYN,SCA CIP,IPDVS INSTALLATION,Construction,In-Progress,4/16/2024,3/11/2025,,225388,"$200,683.00 ","$173,604.00 ",DSF0001035001
14,K017,P.S. 17 - BROOKLYN,SCA CIP,CERTIFICATE OF OCCUPANCY / FIRE ALARM SYSTEM REPLACEMENT,Construction,In-Progress,8/28/2023,8/16/2025,,19737609,"$17,914,883.00 ","$7,172,212.00 ","DSF0000865947, DSF0001083702"
14,K017,I.S. 577 - BROOKLYN,SCA CIP,IPDVS INSTALLATION,Design,Complete,8/2/2023,1/31/2024,12/20/2023,17487,"$13,733.00 ","$13,733.00 ",DSF0001035001
14,K017,P.S. 17 - BROOKLYN,SCA CIP,CERTIFICATE OF OCCUPANCY / FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,4/25/2018,10/25/2018,9/30/2022,910025,"$549,395.00 ","$518,205.00 ","DSF0000865947, DSF0001083702"
14,K017,P.S. 17 - BROOKLYN,SCA CIP,CERTIFICATE OF OCCUPANCY / FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,4/6/2017,11/2/2017,12/19/2017,183712,"$162,802.00 ","$162,802.00 ","DSF0000865947, DSF0001083702"
14,K017,I.S. 577 - BROOKLYN,SCA CIP,IPDVS INSTALLATION,Scope,Complete,7/27/2023,11/28/2023,8/2/2023,3886,"$3,433.00 ","$3,433.00 ",DSF0001035001
14,K017,P.S. 17 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A SUPPLEMENTAL COOLING,"CM,F&E",PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113562
14,K017,P.S. 17 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113562
14,K017,P.S. 17 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A SUPPLEMENTAL COOLING,Design,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113562
14,K017,P.S. 17 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A SUPPLEMENTAL COOLING,Scope,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113562
14,K017,I.S. 577 - BROOKLYN,SCA IEH,"PO18-REPLACE APPROX 6000 SQ FT OF 9X9 TILES FIRST FLOOR MAIN ENT, UNDER STAIRCASE, HALLWY 2ND, 3RD,",Construction,Complete,2/14/2025,IEH,4/30/2025,IEH,"$263,673.00 ","$1,533.00 ",SCA0000073917
14,K017,I.S. 577 - BROOKLYN,SCA IEH,PO18-SAFE ACCESS ABATEMENT,Construction,Complete,12/6/2024,IEH,1/4/2025,IEH,"$9,606.00 ","$9,606.00 ",SCA0000073680
14,K017,I.S. 577 - BROOKLYN,SCA IEH,"PO18-REPLACE 800 SQ FT OF 9X9 IN 2ND AND 4TH FLOOR STAIRWELL STAIRCASE B, D, G,",Construction,In-Progress,5/1/2025,IEH,,IEH,"$1,770.00 ","$1,020.00 ",SCA0000074216
14,K018,P.S. 18 - BROOKLYN,DOE - RESOA,FY25 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$150,000.00 ",$0.00 ,DSF0001112528
14,K018,P.S. 18 - BROOKLYN,DOE - RESOA,FY24 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,4/9/2024,DOER,,DOER,"$50,000.00 ",$0.00 ,DSF0001085942
14,K018,P.S. 18 - BROOKLYN,DOE - Skilled Trades,ACE STEAM SYSTEM OPTIMIZATION,Construction,In-Progress,9/22/2022,DOES,,DOES,"$98,632.00 ",$0.00 ,DSF0001034405
14,K018,P.S. 18 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,633589,"$633,589.00 ","$56,641.00 ","DSF0001009742, DSF0001009743, DSF0001009744, DSF0001086874"
14,K018,P.S. 18 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,11280,"$11,280.00 ","$2,387.00 ",DSF0001111878
14,K018,P.S. 18 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,PNS,PNS,PNS,26106,"$26,106.00 ","$3,199.00 ",DSF0001087369
14,K018,P.S. 18 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,PNS,PNS,PNS,101769,"$101,769.00 ",$0.00 ,DSF0001087369
14,K018,P.S. 18 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,8917115,"$8,917,115.00 ","$261,376.00 ","DSF0001009742, DSF0001009743, DSF0001009744, DSF0001086874"
14,K018,P.S. 18 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,60861,"$60,861.00 ",$0.00 ,DSF0001111878
14,K018,P.S. 18 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,In-Progress,3/13/2025,9/8/2025,,7080,"$7,080.00 ","$4,669.00 ",DSF0001087369
14,K018,P.S. 18 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE,Design,Complete,12/13/2023,4/12/2024,1/30/2024,4722,$790.00 ,$790.00 ,DSF0001111878
14,K018,P.S. 18 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / PLAYGROUND UPGRADE,Design,Complete,8/31/2023,2/6/2024,1/30/2024,417512,"$274,643.00 ","$261,077.00 ","DSF0001009742, DSF0001009743, DSF0001009744, DSF0001086874"
14,K018,P.S. 18 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE,Scope,Complete,12/13/2023,12/13/2023,12/13/2023,1049,"$8,510.00 ","$8,510.00 ",DSF0001111878
14,K018,P.S. 18 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / PLAYGROUND UPGRADE,Scope,Complete,7/8/2022,11/23/2022,8/21/2023,84605,"$135,915.00 ","$135,915.00 ","DSF0001009742, DSF0001009743, DSF0001009744, DSF0001086874"
14,K018,P.S. 18 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,3/12/2025,7/11/2025,3/13/2025,1770,"$1,167.00 ","$1,167.00 ",DSF0001087369
14,K019,P.S. 414 - BROOKLYN,DIIT - RESOA,FY 07 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$64,512.00 ",$0.00 ,DSF0000822695
14,K019,P.S. 414 - BROOKLYN,DOE - RESOA,FY21 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,"$468,319.00 ",$0.00 ,DSF0000961280
14,K019,P.S. 414 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE / FY22 RESO A PLAYGROUND UPGRADE / EXTERIOR MASONRY / WINDOWS / PARAPETS / ROOFS / SITE WORK / FLOOD ELIMINATION,"CM,F&E",In-Progress,9/4/2023,9/2/2026,,2060577,"$863,443.00 ","$834,388.00 ","DSF0001033563, DSF0001033564, DSF0001009765, DSF0001009764, DSF0001009763, DSF0001009762, DSF0001036321, DSF0001009759"
14,K019,P.S. 414 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,PNS,PNS,PNS,50490,"$50,490.00 ","$2,453.00 ",DSF0001087370
14,K019,P.S. 414 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE / FY22 RESO A PLAYGROUND UPGRADE / EXTERIOR MASONRY / WINDOWS / PARAPETS / ROOFS / SITE WORK / FLOOD ELIMINATION,Construction,In-Progress,9/4/2023,9/2/2026,,30970227,"$28,646,531.00 ","$11,158,164.00 ","DSF0001033563, DSF0001033564, DSF0001009765, DSF0001009764, DSF0001009763, DSF0001009762, DSF0001036321, DSF0001009759"
14,K019,P.S. 414 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,PNS,PNS,PNS,196824,"$196,824.00 ",$0.00 ,DSF0001087370
14,K019,P.S. 414 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,In-Progress,3/13/2025,9/8/2025,,13692,"$13,692.00 ","$3,999.00 ",DSF0001087370
14,K019,P.S. 414 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE / FY22 RESO A PLAYGROUND UPGRADE / EXTERIOR MASONRY / WINDOWS / PARAPETS / ROOFS / SITE WORK / FLOOD ELIMINATION,Design,Complete,10/24/2022,6/12/2023,4/28/2023,1412403,"$852,374.00 ","$852,374.00 ","DSF0001033563, DSF0001033564, DSF0001009765, DSF0001009764, DSF0001009763, DSF0001009762, DSF0001036321, DSF0001009759"
14,K019,P.S. 414 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE / FY22 RESO A PLAYGROUND UPGRADE / EXTERIOR MASONRY / WINDOWS / PARAPETS / ROOFS / SITE WORK / FLOOD ELIMINATION,Scope,Complete,6/6/2022,11/30/2022,10/4/2022,284352,"$514,621.00 ","$475,814.00 ","DSF0001033563, DSF0001033564, DSF0001009765, DSF0001009764, DSF0001009763, DSF0001009762, DSF0001036321, DSF0001009759"
14,K019,P.S. 414 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,3/12/2025,7/11/2025,3/13/2025,3423,"$1,000.00 ","$1,000.00 ",DSF0001087370
14,K019,P.S. 414 - BROOKLYN,SCA IEH,PO18-PERFORM EMERGENCY CLEANUP AND AIR CLEARANCE LOCATION : AUDITORIUM HOLES WERE DRILLED INTO AUDIT,Construction,Complete,4/11/2025,IEH,4/13/2025,IEH,"$7,666.00 ",$623.00 ,SCA0000074150
13,K020,P.S. 20 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY / ROOFS / PARAPETS / EXTERIOR MASONRY / PLAYGROUND RENOVATION / FIRE ALARM SYSTEM / FY24 RESO A GREEN ROOF,"CM,F&E",PNS,PNS,PNS,PNS,1835077,"$1,835,077.00 ","$184,461.00 ","DSF0001034387, DSF0001009786, DSF0001009787, DSF0001009788, DSF0001083930, DSF0001085101, DSF0001085811"
13,K020,P.S. 20 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,6/10/2025,5/5/2026,,35347,"$24,744.00 ","$6,874.00 ",DSF0001087371
13,K020,P.S. 20 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,6/10/2025,5/5/2026,,190710,"$168,539.00 ","$4,134.00 ",DSF0001087371
13,K020,P.S. 20 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY / ROOFS / PARAPETS / EXTERIOR MASONRY / PLAYGROUND RENOVATION / FIRE ALARM SYSTEM / FY24 RESO A GREEN ROOF,Construction,PNS,PNS,PNS,PNS,26594191,"$26,594,191.00 ","$215,323.00 ","DSF0001034387, DSF0001009786, DSF0001009787, DSF0001009788, DSF0001083930, DSF0001085101, DSF0001085811"
13,K020,P.S. 20 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,9/6/2024,3/7/2025,3/6/2025,14796,$249.00 ,$249.00 ,DSF0001087371
13,K020,P.S. 20 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY / ROOFS / PARAPETS / EXTERIOR MASONRY / PLAYGROUND RENOVATION / FIRE ALARM SYSTEM / FY24 RESO A GREEN ROOF,Design,Complete,2/16/2024,7/19/2024,9/18/2024,1230504,"$965,810.00 ","$667,240.00 ","DSF0001034387, DSF0001009786, DSF0001009787, DSF0001009788, DSF0001083930, DSF0001085101, DSF0001085811"
13,K020,P.S. 20 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,8/22/2024,12/24/2024,9/6/2024,3288,$62.00 ,$62.00 ,DSF0001087371
13,K020,P.S. 20 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY / ROOFS / PARAPETS / EXTERIOR MASONRY / PLAYGROUND RENOVATION / FIRE ALARM SYSTEM / FY24 RESO A GREEN ROOF,Scope,Complete,2/11/2022,11/17/2022,2/15/2024,248625,"$414,499.00 ","$414,499.00 ","DSF0001034387, DSF0001009786, DSF0001009787, DSF0001009788, DSF0001083930, DSF0001085101, DSF0001085811"
13,K020,P.S. 20 - BROOKLYN,SCA IEH,PO18-ABATE FUEL OIL PIPE INUSLATION FOR BOILER CONVERSION LOCATION IS MARKED AT BOILER AND PUMP SET,Construction,Complete,2/25/2025,IEH,6/20/2025,IEH,"$1,252.00 ",$0.00 ,SCA0000073953
13,K020,P.S. 20 - BROOKLYN,SCA IEH,"PO18-TEST AND ABATE ROOM 313 ID:4313 ACM ON RADIATOR ENCLOSURE, RIGHT SIDE BOARD INSULATION 2'X2' FT",Construction,In-Progress,5/13/2025,IEH,,IEH,$750.00 ,$0.00 ,SCA0000074262
